"Date","EECTOT"
1990-12-01,93.8
1991-01-01,NA
1991-02-01,NA
1991-03-01,95.2
1991-04-01,NA
1991-05-01,NA
1991-06-01,91.6
1991-07-01,NA
1991-08-01,NA
1991-09-01,91.7
1991-10-01,NA
1991-11-01,NA
1991-12-01,94
1992-01-01,NA
1992-02-01,NA
1992-03-01,94.2
1992-04-01,NA
1992-05-01,NA
1992-06-01,94.9
1992-07-01,NA
1992-08-01,NA
1992-09-01,97.7
1992-10-01,97.8
1992-11-01,96.6
1992-12-01,93.1
1993-01-01,93.1
1993-02-01,92.6
1993-03-01,92.2
1993-04-01,92.1
1993-05-01,92.8
1993-06-01,92.9
1993-07-01,92.6
1993-08-01,91.9
1993-09-01,92
1993-10-01,92.9
1993-11-01,92.4
1993-12-01,91.8
1994-01-01,91.9
1994-02-01,91.8
1994-03-01,91.9
1994-04-01,92.3
1994-05-01,92.6
1994-06-01,93.1
1994-07-01,93.6
1994-08-01,94.3
1994-09-01,94.9
1994-10-01,95.4
1994-11-01,96.3
1994-12-01,96.2
1995-01-01,95.9
1995-02-01,96.6
1995-03-01,97.7
1995-04-01,98.6
1995-05-01,99.3
1995-06-01,99.5
1995-07-01,99.7
1995-08-01,99.8
1995-09-01,99.7
1995-10-01,99.7
1995-11-01,100.3
1995-12-01,100.4
1996-01-01,101
1996-02-01,100.9
1996-03-01,101.3
1996-04-01,101.4
1996-05-01,101.3
1996-06-01,101
1996-07-01,101
1996-08-01,101.2
1996-09-01,101.7
1996-10-01,102
1996-11-01,101.8
1996-12-01,101.9
1997-01-01,101.9
1997-02-01,101.5
1997-03-01,100.5
1997-04-01,99.9
1997-05-01,99.8
1997-06-01,100
1997-07-01,99.5
1997-08-01,99.7
1997-09-01,99.1
1997-10-01,99.5
1997-11-01,99.9
1997-12-01,100.1
1998-01-01,99.6
1998-02-01,99.2
1998-03-01,98.9
1998-04-01,98.3
1998-05-01,98.8
1998-06-01,98.8
1998-07-01,98.6
1998-08-01,98.6
1998-09-01,98.7
1998-10-01,99.6
1998-11-01,100.1
1998-12-01,99.4
1999-01-01,99.5
1999-02-01,99.4
1999-03-01,98.8
1999-04-01,99.1
1999-05-01,99.2
1999-06-01,99.1
1999-07-01,98.9
1999-08-01,99.1
1999-09-01,99.9
1999-10-01,100
1999-11-01,100.5
1999-12-01,100.3
2000-01-01,100.4
2000-02-01,100.7
2000-03-01,100.8
2000-04-01,100.2
2000-05-01,100
2000-06-01,100.1
2000-07-01,100.6
2000-08-01,100.2
2000-09-01,100
2000-10-01,99.1
2000-11-01,99.1
2000-12-01,98.9
2001-01-01,98.7
2001-02-01,99.5
2001-03-01,99
2001-04-01,98.6
2001-05-01,98.9
2001-06-01,98.8
2001-07-01,97.9
2001-08-01,97.9
2001-09-01,98.2
2001-10-01,98.1
2001-11-01,97.6
2001-12-01,97.4
2002-01-01,97.6
2002-02-01,97.4
2002-03-01,97.4
2002-04-01,98.5
2002-05-01,98.7
2002-06-01,99.2
2002-07-01,100.6
2002-08-01,100.8
2002-09-01,101
2002-10-01,100.9
2002-11-01,100.5
2002-12-01,100.9
2003-01-01,101.6
2003-02-01,103.1
2003-03-01,103.2
2003-04-01,102.8
2003-05-01,101.8
2003-06-01,102.8
2003-07-01,103.1
2003-08-01,103.1
2003-09-01,102.8
2003-10-01,103.3
2003-11-01,103.9
2003-12-01,104.3
2004-01-01,106
2004-02-01,106.8
2004-03-01,107.4
2004-04-01,108.2
2004-05-01,108.2
2004-06-01,108.5
2004-07-01,108.6
2004-08-01,109.6
2004-09-01,110
2004-10-01,110.7
2004-11-01,111.2
2004-12-01,111.6
2005-01-01,112.6
2005-02-01,113.5
2005-03-01,113.8
2005-04-01,114.3
2005-05-01,114
2005-06-01,114.1
2005-07-01,114.5
2005-08-01,114.4
2005-09-01,115.7
2005-10-01,115.5
2005-11-01,114.6
2005-12-01,114.5
2006-01-01,116.1
2006-02-01,116.6
2006-03-01,117.7
2006-04-01,117
2006-05-01,118.8
2006-06-01,120.4
2006-07-01,120.5
2006-08-01,118.9
2006-09-01,120.5
2006-10-01,119.7
2006-11-01,119.6
2006-12-01,119.6
2007-01-01,120.5
2007-02-01,120.8
2007-03-01,121.3
2007-04-01,121.2
2007-05-01,121.1
2007-06-01,121.6
2007-07-01,122.1
2007-08-01,121.8
2007-09-01,122.3
2007-10-01,122.5
2007-11-01,123.2
2007-12-01,124.1
2008-01-01,126.7
2008-02-01,127.6
2008-03-01,129.7
2008-04-01,131.8
2008-05-01,132.8
2008-06-01,133.9
2008-07-01,134.4
2008-08-01,133.4
2008-09-01,131.5
2008-10-01,129.6
2008-11-01,126.2
2008-12-01,124.3
2009-01-01,124.4
2009-02-01,124.1
2009-03-01,123.6
2009-04-01,123.8
2009-05-01,123.7
2009-06-01,124.4
2009-07-01,124.6
2009-08-01,124.9
2009-09-01,125.4
2009-10-01,126.1
2009-11-01,126.9
2009-12-01,127.4
2010-01-01,127.7
2010-02-01,128.2
2010-03-01,128.3
2010-04-01,128.7
2010-05-01,128.7
2010-06-01,127.7
2010-07-01,127.4
2010-08-01,128.2
2010-09-01,128.4
2010-10-01,128.3
2010-11-01,129.1
2010-12-01,129.1
2011-01-01,130.4
2011-02-01,131.2
2011-03-01,132.8
2011-04-01,134
2011-05-01,135.2
2011-06-01,135.9
2011-07-01,136.7
2011-08-01,136.5
2011-09-01,136.5
2011-10-01,137.1
2011-11-01,136.9
2011-12-01,136.3
2012-01-01,135.1
2012-02-01,135
2012-03-01,136.3
2012-04-01,136.3
2012-05-01,136
2012-06-01,135
2012-07-01,134.7
2012-08-01,134.5
2012-09-01,134.3
2012-10-01,135.2
2012-11-01,135.2
2012-12-01,133.8
2013-01-01,135.9
2013-02-01,136.8
2013-03-01,135.8
2013-04-01,135.7
2013-05-01,135.3
2013-06-01,135.2
2013-07-01,135.8
2013-08-01,135.3
2013-09-01,135.7
2013-10-01,136.3
2013-11-01,136.7
2013-12-01,136.4
2014-01-01,137.5
2014-02-01,137.6
2014-03-01,137.8
2014-04-01,138.5
2014-05-01,139
2014-06-01,139.1
2014-07-01,139.3
2014-08-01,139.6
2014-09-01,137.4
2014-10-01,137
2014-11-01,137.6
2014-12-01,137.1
2015-01-01,134.9
2015-02-01,134.6
2015-03-01,134.3
2015-04-01,133.6
2015-05-01,134.6
2015-06-01,134.9
2015-07-01,134.8
2015-08-01,134.1
2015-09-01,132.6
2015-10-01,133
2015-11-01,132.5
2015-12-01,132
2016-01-01,131.7
2016-02-01,131.1
2016-03-01,130.9
2016-04-01,131.2
2016-05-01,132
2016-06-01,132.1
2016-07-01,131.6
2016-08-01,131.1
2016-09-01,131.2
2016-10-01,131.8
2016-11-01,131.8
2016-12-01,131.6
2017-01-01,132.2
2017-02-01,132.1
2017-03-01,132.3
2017-04-01,132.3
2017-05-01,132.3
2017-06-01,132.8
2017-07-01,132.6
2017-08-01,133.6
2017-09-01,134
2017-10-01,133.9
2017-11-01,134.2
2017-12-01,134.6
2018-01-01,135.5
2018-02-01,136.5
2018-03-01,136.5
2018-04-01,137.3
2018-05-01,137.7
2018-06-01,137.3
2018-07-01,137.3
2018-08-01,137.2
2018-09-01,137
2018-10-01,137.2
2018-11-01,136.7
2018-12-01,136.5
2019-01-01,136.6
2019-02-01,137
2019-03-01,137.2
2019-04-01,137.2
2019-05-01,137.6
2019-06-01,136.9
2019-07-01,137.1
2019-08-01,136.8
2019-09-01,136.9
2019-10-01,136.7
2019-11-01,136.9
2019-12-01,137
2020-01-01,137.6
2020-02-01,137.4
2020-03-01,137
2020-04-01,136.1
2020-05-01,135.9
2020-06-01,136.5
2020-07-01,137.4
2020-08-01,138
2020-09-01,139.2
2020-10-01,139.2
2020-11-01,138.8
2020-12-01,139.9
2021-01-01,141
2021-02-01,142.3
2021-03-01,143.8
2021-04-01,143.9
2021-05-01,144.9
2021-06-01,145.2
2021-07-01,146.4
2021-08-01,146.6
2021-09-01,146.8
2021-10-01,146.4
2021-11-01,146.7
2021-12-01,146.8
2022-01-01,148.1
2022-02-01,150.1
2022-03-01,152.1
2022-04-01,152.7
2022-05-01,153.3
2022-06-01,155.1
2022-07-01,154.7
2022-08-01,153.8
2022-09-01,152.9
2022-10-01,152.7
2022-11-01,151
2022-12-01,153.1
2023-01-01,154.5
2023-02-01,155.2
2023-03-01,154.6
2023-04-01,155.3
2023-05-01,155.8
2023-06-01,155.6
2023-07-01,156
2023-08-01,156.5
2023-09-01,155.8
2023-10-01,155.1
2023-11-01,154.6
