"Date","IMPTOTWI"
2008-01-01,1690.3
2008-02-01,1627.5
2008-03-01,1677.1
2008-04-01,1817.1
2008-05-01,1759.2
2008-06-01,1840.5
2008-07-01,1907.6
2008-08-01,1928.2
2008-09-01,1906.5
2008-10-01,2107.1
2008-11-01,1774.6
2008-12-01,1545.7
2009-01-01,1469.9
2009-02-01,1334.9
2009-03-01,1449.3
2009-04-01,1294.8
2009-05-01,1237.5
2009-06-01,1234.6
2009-07-01,1361.9
2009-08-01,1427.5
2009-09-01,1410.9
2009-10-01,1585.4
2009-11-01,1387.5
2009-12-01,1338
2010-01-01,1446.4
2010-02-01,1392.1
2010-03-01,1630.6
2010-04-01,1496.1
2010-05-01,1555.6
2010-06-01,1647.4
2010-07-01,1628.4
2010-08-01,1895
2010-09-01,1785
2010-10-01,1914.1
2010-11-01,1736.9
2010-12-01,1568
2011-01-01,1673.7
2011-02-01,1575.5
2011-03-01,1749.7
2011-04-01,1832
2011-05-01,1868.1
2011-06-01,1808.7
2011-07-01,1872.5
2011-08-01,2040.9
2011-09-01,1974.5
2011-10-01,2001.8
2011-11-01,1840.8
2011-12-01,1685.5
2012-01-01,1920.8
2012-02-01,1814
2012-03-01,1936.4
2012-04-01,1901.1
2012-05-01,2029.9
2012-06-01,1965.9
2012-07-01,2097.6
2012-08-01,2079.2
2012-09-01,2001.7
2012-10-01,2215.5
2012-11-01,1821.4
2012-12-01,1598.1
2013-01-01,1819.30298
2013-02-01,1681.253214
2013-03-01,1674.294686
2013-04-01,1857.674446
2013-05-01,1795.191411
2013-06-01,1761.646129
2013-07-01,1968.061813
2013-08-01,2024.70661
2013-09-01,2008.454528
2013-10-01,2142.167856
2013-11-01,1863.430129
2013-12-01,1626.843543
2014-01-01,1881.153368
2014-02-01,1701.377332
2014-03-01,1845.155948
2014-04-01,1983.818086
2014-05-01,1986.452579
2014-06-01,1871.392799
2014-07-01,2133.977179
2014-08-01,2123.174418
2014-09-01,2121.704668
2014-10-01,2302.023022
2014-11-01,1882.423297
2014-12-01,1730.420562
2015-01-01,1875.937908
2015-02-01,1650.378519
2015-03-01,2087.74678
2015-04-01,1999.353014
2015-05-01,1901.487741
2015-06-01,1888.426018
2015-07-01,1986.809311
2015-08-01,2042.164854
2015-09-01,2026.698815
2015-10-01,2102.974989
2015-11-01,1826.5467
2015-12-01,1660.866396
2016-01-01,1835.233957
2016-02-01,1682.883322
2016-03-01,1675.364392
2016-04-01,1732.229136
2016-05-01,1790.628651
2016-06-01,1786.681668
2016-07-01,1838.523897
2016-08-01,1995.383618
2016-09-01,1946.149068
2016-10-01,2205.148617
2016-11-01,2049.215044
2016-12-01,1861.301544
2017-01-01,2043.597856
2017-02-01,2013.093895
2017-03-01,2277.05007
2017-04-01,2159.752161
2017-05-01,2338.908388
2017-06-01,2311.921962
2017-07-01,2133.45911
2017-08-01,2475.651572
2017-09-01,2196.48608
2017-10-01,2668.973678
2017-11-01,2355.291398
2017-12-01,2706.04425
2018-01-01,2367.788351
2018-02-01,2299.285986
2018-03-01,2490.568641
2018-04-01,2222.554634
2018-05-01,2500.484427
2018-06-01,2546.022011
2018-07-01,2752.18335
2018-08-01,2750.508384
2018-09-01,2421.823072
2018-10-01,3296.700743
2018-11-01,2640.118577
2018-12-01,2547.528331
2019-01-01,2299.196183
2019-02-01,2180.98484
2019-03-01,2305.217621
2019-04-01,2342.794754
2019-05-01,2292.852631
2019-06-01,2106.650927
2019-07-01,2442.491902
2019-08-01,2647.481378
2019-09-01,2535.14212
2019-10-01,2766.168555
2019-11-01,2218.084037
2019-12-01,2183.878762
2020-01-01,2081.221535
2020-02-01,1888.74407
2020-03-01,2213.256834
2020-04-01,1969.392112
2020-05-01,1989.572064
2020-06-01,1950.018828
2020-07-01,2294.994674
2020-08-01,2267.552181
2020-09-01,2385.532912
2020-10-01,2551.124182
2020-11-01,2544.092661
2020-12-01,2510.797539
2021-01-01,2271.512526
2021-02-01,2289.670405
2021-03-01,2993.958081
2021-04-01,2885.604806
2021-05-01,3224.117384
2021-06-01,2885.422652
2021-07-01,2932.416054
2021-08-01,3357.038154
2021-09-01,3096.75242
2021-10-01,3519.635778
2021-11-01,3716.230215
2021-12-01,3121.226028
2022-01-01,2856.347702
2022-02-01,2731.745192
2022-03-01,3667.06987
2022-04-01,3668.870478
2022-05-01,3581.341808
2022-06-01,3410.644236
2022-07-01,3525.349936
2022-08-01,3957.979829
2022-09-01,3570.275295
2022-10-01,3589.457097
2022-11-01,3266.587095
2022-12-01,3202.292577
2023-01-01,2879.957362
2023-02-01,2696.067765
2023-03-01,3431.73011
2023-04-01,3205.782674
2023-05-01,3662.005082
2023-06-01,3201.767327
2023-07-01,3512.305615
2023-08-01,3422.896026
2023-09-01,3262.329995
2023-10-01,3693.609133
