"Date","WPU107301C1"
2011-06-01,100
2011-07-01,100
2011-08-01,100
2011-09-01,100
2011-10-01,99.7
2011-11-01,99.7
2011-12-01,99.7
2012-01-01,101.6
2012-02-01,97.8
2012-03-01,97.8
2012-04-01,97.8
2012-05-01,97.8
2012-06-01,97.8
2012-07-01,97.8
2012-08-01,97.8
2012-09-01,97.8
2012-10-01,98.3
2012-11-01,98.3
2012-12-01,98.3
2013-01-01,98.4
2013-02-01,98.5
2013-03-01,98.6
2013-04-01,98.6
2013-05-01,98.6
2013-06-01,98.8
2013-07-01,98.6
2013-08-01,98.9
2013-09-01,98.9
2013-10-01,99
2013-11-01,99
2013-12-01,98.7
2014-01-01,99.3
2014-02-01,99.3
2014-03-01,99.2
2014-04-01,99.2
2014-05-01,99.3
2014-06-01,99.3
2014-07-01,99.3
2014-08-01,99.3
2014-09-01,98.9
2014-10-01,98.9
2014-11-01,99
2014-12-01,99
2015-01-01,104.2
2015-02-01,103.8
2015-03-01,103.8
2015-04-01,103.8
2015-05-01,103.8
2015-06-01,103.8
2015-07-01,103.8
2015-08-01,103.1
2015-09-01,102.3
2015-10-01,102.3
2015-11-01,102.3
2015-12-01,105.3
2016-01-01,105.8
2016-02-01,105.8
2016-03-01,105.9
2016-04-01,105.9
2016-05-01,105.9
2016-06-01,106.2
2016-07-01,106.2
2016-08-01,106.2
2016-09-01,106.2
2016-10-01,106.2
2016-11-01,106.2
2016-12-01,106.2
2017-01-01,105.9
2017-02-01,105.9
2017-03-01,105.9
2017-04-01,105.8
2017-05-01,105.8
2017-06-01,105.8
2017-07-01,106
2017-08-01,106
2017-09-01,106
2017-10-01,106
2017-11-01,106
2017-12-01,105.5
2018-01-01,109.2
2018-02-01,109.2
2018-03-01,109.2
2018-04-01,102.4
2018-05-01,102.4
2018-06-01,102.4
2018-07-01,102.4
2018-08-01,105.3
2018-09-01,105.3
2018-10-01,105.6
2018-11-01,104.7
2018-12-01,104.7
2019-01-01,107.8
2019-02-01,105.8
2019-03-01,105.8
2019-04-01,105.8
2019-05-01,105
2019-06-01,105
2019-07-01,106.1
2019-08-01,106.1
2019-09-01,106.1
2019-10-01,106.1
2019-11-01,106.1
2019-12-01,106.1
2020-01-01,105.9
2020-02-01,105.9
2020-03-01,104.1
2020-04-01,104.1
2020-05-01,104.1
2020-06-01,104.1
2020-07-01,104.4
2020-08-01,103.1
2020-09-01,103.1
2020-10-01,103.1
2020-11-01,103.1
2020-12-01,103.1
2021-01-01,100.1
2021-02-01,105
2021-03-01,105
2021-04-01,105
2021-05-01,107.2
2021-06-01,112.6
2021-07-01,118.143
2021-08-01,118.143
2021-09-01,NA
2021-10-01,118.227
2021-11-01,118.704
2021-12-01,118.36
2022-01-01,118.36
2022-02-01,121.133
2022-03-01,121.202
2022-04-01,120.925
2022-05-01,121.77
2022-06-01,121.847
2022-07-01,121.715
2022-08-01,121.394
2022-09-01,121.567
2022-10-01,122.558
2022-11-01,122.407
2022-12-01,122.537
2023-01-01,122.578
2023-02-01,122.612
2023-03-01,122.788
2023-04-01,139.027
2023-05-01,132.615
2023-06-01,133.056
2023-07-01,133.928
2023-08-01,135.874
2023-09-01,136.125
2023-10-01,136.049
2023-11-01,136.863
