"Date","WPU58G1"
2009-03-01,100
2009-04-01,101.9
2009-05-01,101.2
2009-06-01,105.4
2009-07-01,109.4
2009-08-01,100.8
2009-09-01,108.9
2009-10-01,107.2
2009-11-01,104.6
2009-12-01,107.2
2010-01-01,105.7
2010-02-01,109
2010-03-01,105.5
2010-04-01,106.5
2010-05-01,104.6
2010-06-01,102.4
2010-07-01,123.8
2010-08-01,112.4
2010-09-01,117.8
2010-10-01,121.9
2010-11-01,120.1
2010-12-01,122.3
2011-01-01,119.7
2011-02-01,121.6
2011-03-01,118.9
2011-04-01,123.4
2011-05-01,120.2
2011-06-01,123.9
2011-07-01,122.1
2011-08-01,124
2011-09-01,124.3
2011-10-01,129.3
2011-11-01,131
2011-12-01,126
2012-01-01,128.2
2012-02-01,126.9
2012-03-01,126.7
2012-04-01,127.9
2012-05-01,127.5
2012-06-01,131.1
2012-07-01,134.3
2012-08-01,134
2012-09-01,137.7
2012-10-01,138
2012-11-01,133.1
2012-12-01,134.8
2013-01-01,136.3
2013-02-01,137
2013-03-01,137
2013-04-01,138.5
2013-05-01,133.8
2013-06-01,138.6
2013-07-01,138.3
2013-08-01,141.3
2013-09-01,142.6
2013-10-01,140.4
2013-11-01,137.1
2013-12-01,132.5
2014-01-01,137.7
2014-02-01,139.7
2014-03-01,144.8
2014-04-01,144.6
2014-05-01,148
2014-06-01,141.3
2014-07-01,143.9
2014-08-01,142.6
2014-09-01,139.9
2014-10-01,138.6
2014-11-01,137.9
2014-12-01,137.4
2015-01-01,137.3
2015-02-01,141.4
2015-03-01,140.7
2015-04-01,138.6
2015-05-01,140.1
2015-06-01,143.1
2015-07-01,143.1
2015-08-01,144
2015-09-01,142.9
2015-10-01,142.5
2015-11-01,142.4
2015-12-01,140.7
2016-01-01,142.9
2016-02-01,146.2
2016-03-01,147.3
2016-04-01,149
2016-05-01,146.8
2016-06-01,155.1
2016-07-01,155.9
2016-08-01,157
2016-09-01,156.1
2016-10-01,150.8
2016-11-01,150.2
2016-12-01,149.8
2017-01-01,149.5
2017-02-01,149.5
2017-03-01,149.9
2017-04-01,155.8
2017-05-01,142.9
2017-06-01,143.3
2017-07-01,142.9
2017-08-01,146
2017-09-01,136.1
2017-10-01,136.4
2017-11-01,136.4
2017-12-01,135.2
2018-01-01,135.8
2018-02-01,136.3
2018-03-01,136.7
2018-04-01,139.9
2018-05-01,141.3
2018-06-01,139.3
2018-07-01,142.3
2018-08-01,139.5
2018-09-01,139.1
2018-10-01,143.1
2018-11-01,142.7
2018-12-01,144.4
2019-01-01,142.9
2019-02-01,145.8
2019-03-01,145.9
2019-04-01,145.9
2019-05-01,148.9
2019-06-01,146.8
2019-07-01,145.1
2019-08-01,149.1
2019-09-01,149.5
2019-10-01,150.3
2019-11-01,145.6
2019-12-01,149.2
2020-01-01,146.7
2020-02-01,147.9
2020-03-01,144.8
2020-04-01,145
2020-05-01,146.5
2020-06-01,144.3
2020-07-01,142
2020-08-01,139.2
2020-09-01,136
2020-10-01,134.4
2020-11-01,120.7
2020-12-01,118.4
2021-01-01,119
2021-02-01,125.7
2021-03-01,136.2
2021-04-01,146.1
2021-05-01,150.2
2021-06-01,148.4
2021-07-01,142.385
2021-08-01,149.702
2021-09-01,156.657
2021-10-01,148.453
2021-11-01,157.063
2021-12-01,154.633
2022-01-01,158.465
2022-02-01,158.782
2022-03-01,159.714
2022-04-01,167.257
2022-05-01,168.032
2022-06-01,170.018
2022-07-01,187.229
2022-08-01,185.03
2022-09-01,183.184
2022-10-01,180.86
2022-11-01,178.469
2022-12-01,174.812
2023-01-01,178.776
2023-02-01,192.973
2023-03-01,192.795
2023-04-01,204.468
2023-05-01,200.578
2023-06-01,207.628
2023-07-01,199.973
2023-08-01,208.098
2023-09-01,210.048
2023-10-01,210.215
2023-11-01,205.936
